Movie Title,production_budget_usd,worldwide_gross_usd
Trapeze,4000000,14400000
Halloween 3: Season of the Witch,2500000,14400000
Maria Full of Grace,3200000,14441158
"Life, or Something Like It",40000000,14448589
Welcome to Mooseport,26000000,14469428
Flight of the Intruder,35000000,14471440
Being Julia,18000000,14488705
Red Lights,17700000,14518884
Kickboxer,1500000,14533681
School Daze,6000000,14545844
Soul Plane,16000000,14553807
Hellraiser,1000000,14564000
Envy,20000000,14566246
Birth,20000000,14603001
Beyond the Lights,7000000,14618727
Soldier,75000000,14623082
Khiladi 786,5600000,14683763
Out Cold,11000000,14786394
Radio Days,16000000,14792779
Possession,25000000,14805812
A Dangerous Method,20000000,14807531
Raise Your Voice,15000000,14811980
Flyboys,60000000,14816379
Supernova,60000000,14816494
Hollywood Ending,16000000,14839383
Eve's Bayou,5000000,14843425
Regression,20000000,14883495
Boat Trip,15000000,14933713
The Hudsucker Proxy,40000000,14938149
Kiss of Death,40000000,14942422
Scout's Guide to the Zombie Apocalypse,15000000,14947243
Solaris,47000000,14970038
The Vatican Tapes,13000000,14999638
The Egyptian,5000000,15000000
The Front Page,4000000,15000000
Spaced Invaders,3000000,15000000
Obitaemyy ostrov,36500000,15000000
Haakon Haakonsen,8500000,15024232
The Reef,10000000,15037867
Twilight,20000000,15055091
Dead Man on Campus,14000000,15064948
The Painted Veil,19400000,15118795
Halloween: The Curse of Michael Myers,5000000,15126948
Io sono l’amore,10000000,15132211
Firestarter,15000000,15136870
La science des rêves,6000000,15137932
Iris,5500000,15155021
Chasing Amy,250000,15155095
The Corruptor,10000000,15164492
Thinner,14000000,15171475
The Long Riders,10000000,15198912
Sweet Sweetback's Baad Asssss Song,150000,15200000
Snezhnaya koroleva,7000000,15206330
"The Goods: Live Hard, Sell Hard",10000000,15297318
Ida,2600000,15298355
The Assassination of Jesse James by the Coward Robert Ford,30000000,15313631
The Haunting of Molly Hartley,5000000,15318257
Alex & Emma,30000000,15358583
Touching the Void,2000000,15396525
Out of the Furnace,22000000,15434375
The Jacket,28500000,15452978
The Fountain,35000000,15461638
The Weather Man,20000000,15466961
The Greatest Game Ever Played,25000000,15468266
In Too Deep,7000000,15471229
Bait,35000000,15471969
The Greatest Story Ever Told,20000000,15473333
Shanghai,50000000,15505922
My Boss's Daughter,14000000,15549702
Ulee's Gold,2700000,15600000
Made in Dagenham,8000000,15644196
Unforgettable,12000000,15668012
Larry the Cable Guy: Health Inspector,17000000,15680099
The Last Station,18000000,15696146
High Plains Drifter,5500000,15700000
The Island,22000000,15716828
Jaws 4: The Revenge,23000000,15728335
Anonymous,27500000,15815509
Extraordinary Measures,31000000,15826984
Haevnen,5500000,15867314
The Conspirator,25000000,15907411
Thomas and the Magic Railroad,19000000,15911332
Jason Goes to Hell: The Final Friday,3000000,15935068
Cry Wolf,1000000,15943081
Drowning Mona,16000000,15980376
The Ice Storm,18000000,16011975
O (Othello),5000000,16017403
Incendies,6800000,16038343
The Birth of a Nation,10000000,16084310
"Bright Lights, Big City",25000000,16118077
Imagine That,55000000,16123323
Winter's Bone,2000000,16131551
Wes Craven Presents: They,17000000,16140842
Flirting with Disaster,7000000,16149180
Silence,46500000,16149791
Mo' Better Blues,10000000,16153000
House of Sand and Fog,16500000,16157923
Just Visiting,40000000,16172200
Paranoia,40000000,16173593
Shine a Light,1000000,16173879
The Emperor's Club,12500000,16193713
Black Christmas,9000000,16235738
Howard the Duck,30000000,16295774
Muppets From Space,24000000,16304786
Pride and Prejudice and Zombies,28000000,16311335
A Simple Plan,17000000,16316273
Two Lovers,12000000,16349034
The Words,6000000,16369708
"I Love You, Beth Cooper",18000000,16382538
The Powerpuff Girls,25000000,16425701
Der Baader Meinhof Komplex,19700000,16498827
American Dreamz,17000000,16510971
Sea Rex 3D: Journey to a Prehistoric World,5000000,16515203
Original Sin,26000000,16521410
Transamerica,1000000,16553163
Mindhunters,27000000,16566235
Blue Valentine,1000000,16566240
Baby's Day Out,50000000,16581575
The Good Girl,8000000,16585503
Silent House,2000000,16610760
Paparazzi,20000000,16612072
Digimon: The Movie,5000000,16628751
Bringing Out The Dead,32000000,16640210
Tremors,10000000,16667084
Battle of the Year,20000000,16723377
My Soul to Take,25000000,16727470
54,13000000,16757163
"Kiss Kiss, Bang Bang",15000000,16829464
Femme Fatale,35000000,16830252
Rabbit-Proof Fence,7000000,16866928
Death Sentence,20000000,16907831
Godsend,30000000,16910708
Jason X,14000000,16951798
Catch That Kid,18000000,16959614
Win a Date with Tad Hamilton!,24000000,16980098
The Country Bears,20000000,16988996
Kingdom of the Spiders,500000,17000000
"House of 1,000 Corpses",7000000,17005466
Central do Brasil,2900000,17006158
Somewhere,7000000,17023121
Pandorum,40000000,17033431
Kung Pow: Enter the Fist,10000000,17033556
Kites,9200000,17155193
Election,8500000,17202854
Hit & Run,22000000,17216955
Hudson Hawk,65000000,17218916
Bright Star,8500000,17220091
The Phantom,45000000,17220599
A Few Best Men,15000000,17224539
It Comes at Night,5000000,17250101
Dolphins and Whales Tribes of the Ocean 3D,6000000,17252287
Max Keeble's Big Move,12000000,17292381
The Matador,10000000,17300838
12 Rounds,20000000,17306648
My Baby's Daddy,12000000,17322212
Sunshine Cleaning,5000000,17329337
And So It Goes,18000000,17360801
Extreme Measures,38000000,17378193
Half Baked,8000000,17394881
Les Triplettes de Belleville,2000000,17403168
A Guy Thing,20000000,17430594
Roll Bounce,10000000,17433072
Glee: The 3D Concert Movie,9000000,17462398
Rachel Getting Married,12000000,17475475
Beneath the Planet of the Apes,3000000,17489009
Rebound,45000000,17492014
Addicted,5000000,17499242
Invasion U.S.A.,10000000,17536256
Fruitvale Station,900000,17549645
Adventureland,9800000,17553055
Mommy,4900000,17561100
Cat on a Hot Tin Roof,3000000,17570324
Swing Vote,21000000,17589867
Kit Kittredge: An American Girl,10000000,17657973
Little Boy,20000000,17684355
The Oxford Murders,10000000,17704131
The Rage: Carrie 2,21000000,17760244
Halloween 4: The Return of Michael Myers,5000000,17768757
The Contender,9000000,17804273
School for Scoundrels,20000000,17807569
City of Ember,38000000,17830244
Brothers,13000000,17856688
Antitrust,30000000,17865209
Stolen,35000000,17967746
The Howling,1000000,17985000
Everything You Always Wanted to Know,2000000,18016290
Wes Craven's New Nightmare,8000000,18090181
Friends with Money,6500000,18110152
Last Man Standing,67000000,18115927
All the Pretty Horses,45000000,18120267
Dope,7000000,18190831
Repo Men,32000000,18195238
Daddy Day Camp,6000000,18209872
Harold & Kumar Go to White Castle,9000000,18225165
Loser,20000000,18250106
Eye of the Beholder,15000000,18260865
Machete Kills,20000000,18273009
The Founder,15000000,18301418
Jagten,3450000,18309793
Simon Birch,20000000,18310591
The Infiltrator,47500000,18329653
Sleeper,2000000,18344729
Sabotage,35000000,18376443
Ladyhawke,20000000,18400000
Sugar Hill,10000000,18423914
Empire,3500000,18495444
The Curse of the Jade Scorpion,26000000,18496522
A Mighty Wind,6000000,18504539
Cutthroat Island,92000000,18517322
De-Lovely,15000000,18524496
[Rec] 2,5600000,18527766
An Unfinished Life,30000000,18535575
The Quick and the Dead,32000000,18552460
The Fan,55000000,18582965
Fired Up,20000000,18608570
Michael Jordan to the MAX,7000000,18642318
Anywhere But Here,23000000,18653615
Waiting...,1125000,18673274
3000 Miles to Graceland,62000000,18708848
Housefull,10100000,18726300
Admission,13000000,18733666
The Merchant of Venice,30000000,18765585
The Edge of Seventeen,9000000,18802255
Under the Rainbow,20000000,18826490
See No Evil,8000000,18828036
Whip It,15000000,18856151
Mine Vaganti,9100000,18872126
Akeelah and the Bee,8000000,18959424
The World's Fastest Indian,25000000,18991288
The Boys from Brazil,12000000,19000000
Disturbing Behavior,15000000,19014238
The Replacement Killers,30000000,19035741
The Drop,12600000,19054534
Rushmore,10000000,19080435
Capitalism: A Love Story,20000000,19121531
Vanity Fair,23000000,19123851
A Mighty Heart,15000000,19153568
Friday the 13th Part VII: The New Blood,2800000,19170001
The Visitor,4000000,19174817
Martin Lawrence Live: RunTelDat,3000000,19184820
Half Past Dead,25000000,19233280
Bandidas,35000000,19282590
2046,12000000,19287485
Summer of Sam,22000000,19288130
Rock Star,38000000,19317765
Tuck Everlasting,15000000,19344615
Wish Upon,12000000,19379463
Get Carter,40000000,19417182
Doug's 1st Movie,5000000,19421271
House Party 2,5000000,19438638
The Light Between Oceans,20000000,19450780
Friday the 13th Part VI: Jason Lives,3000000,19472057
The Perfect Man,10000000,19535005
Blackhat,70000000,19548419
Before I Go to Sleep,22000000,19563579
Heavy Metal,9300000,19571091
Dead Man Down,30000000,19599974
Nighthawks,5000000,19600000
Vampire in Brooklyn,14000000,19637147
Youth in Revolt,18000000,19685588
Summer Catch,17000000,19693891
Young Sherlock Holmes,18000000,19739000
Amelia,40000000,19756077
Get Over It,10000000,19860259
Hard Rain,70000000,19870567
Caché,8000000,19891331
Fled,30000000,19892205
Un Prophète,13000000,19910624
crazy/beautiful,13000000,19929123
Frailty,11000000,19947280
The Kentucky Fried Movie,600000,20000000
Another Year,8000000,20005613
The Life of Brian,4000000,20008693
I Heart Huckabees,22000000,20034713
Down to You,9000000,20035310
Creepshow,8000000,20036244
Blindness,25000000,20052958
Reign Over Me,20000000,20081987
Legends of Oz: Dorothy’s Return,70000000,20107933
Nanjing! Nanjing!,12000000,20122558
Love and Death,3000000,20123742
Multiplicity,45000000,20133326
Serving Sara,29000000,20146150
Beerfest,17500000,20159316
Barry Lyndon,11000000,20169934
Hodejegerne,5250000,20188740
Die Fälscher,6250000,20199663
Action Jackson,7000000,20257000
Vampires,20000000,20268825
City Hall,40000000,20278055
The Namesake,8500000,20288774
Valentine,10000000,20384136
F.I.S.T,11000000,20388920
Duel in the Sun,6000000,20400000
Kids,1500000,20412216
Shame,6500000,20412841
The Adventures of Ford Fairlane,49000000,20423389
Margin Call,3400000,20433227
My Life in Ruins,17000000,20465206
The Nutcracker in 3D,90000000,20466016
Easy Virtue,14000000,20537741
The Last Castle,60000000,20541668
Bobby,14000000,20597806
Country Strong,15000000,20601987
A Christmas Story,3250000,20605209
Walk Hard: The Dewey Cox Story,35000000,20606053
Keanu,15000000,20609977
It Follows,2000000,20649774
The Man From Snowy River,5000000,20659423
Best in Show,6000000,20695413
Eurotrip,25000000,20718223
Alex Rider: Operation Stormbreaker,40000000,20722450
Boys Don't Cry,2000000,20741000
Fifty Shades of Black,5000000,20765353
The Dead Zone,10000000,20766000
Left Behind,16000000,20769209
A Thousand Words,40000000,20790486
Georgia Rule,20000000,20819601
Rock Dog,60000000,20830546
The Postman,80000000,20841123
Super Mario Bros.,42000000,20844907
Amores Perros,2000000,20883834
Khumba,15000000,20898221
Red Dog,9100000,20927794
The Devil's Rejects,7000000,20940428
La Guerre du feu,12500000,20959585
A Room with a View,3000000,20966644
Cat People,12500000,21000000
Tales from the Crypt: Demon Knight,12000000,21089146
Very Bad Things,10000000,21094974
A Stir of Echoes,12000000,21133087
A Nightmare On Elm Street Part 2: Freddy's Revenge,3000000,21163999
ATL,17000000,21170563
Raising Cain,11000000,21171695
The Guard,6000000,21197454
A Haunted House 2,4000000,21206861
New York Minute,40000000,21215882
Buried,1987650,21270290
The Apostle,5000000,21277770
Die Unendliche Geschichte,27000000,21300000
Center Stage,18000000,21361109
The Fog,1000000,21378361
Arn - Tempelriddaren,16500000,21404122
Our Family Wedding,14000000,21410546
Quigley Down Under,20000000,21413105
The Right Stuff,27000000,21500000
Army of Darkness,11000000,21502976
The Rum Diary,45000000,21544732
Black or White,9000000,21571189
Wicker Park,30000000,21577076
Over Her Dead Body,10000000,21596074
Doomsday,33000000,21621188
White Oleander,16000000,21657770
Friday the 13th Part 2,1250000,21722776
Exodus,4000000,21750000
Little Black Book,30000000,21758371
Live by Night,65000000,21778555
Little Voice,6000000,21787233
Boys and Girls,16000000,21799652
Melancholia,9400000,21817298
Mr. 3000,30000000,21827296
Reno 911!: Miami,10000000,21851362
Just Wright,12000000,21867665
Flicka,15000000,21896367
Friday the 13th Part V: A New Beginning,2200000,21930418
Feichang Xingyun,8000000,21970000
Unaccompanied Minors,25000000,21970831
Joy Ride,23000000,21973182
The Big Parade,245000,22000000
The Man with the Iron Fists,15000000,22018988
Don Juan DeMarco,25000000,22032635
Man of the House,50000000,22099706
The Medallion,41000000,22108977
Home for the Holidays,20000000,22119269
Three Kingdoms: Resurrection of the Dragon,20000000,22139590
The Marine,15000000,22165608
A Nightmare On Elm Street: The Dream Child,6000000,22168359
Race,5000000,22178125
My Blueberry Nights,10000000,22198996
Waitress,1500000,22217183
Super Size Me,65000,22233808
My Fellow Americans,21500000,22331846
At First Sight,40000000,22365133
Two Can Play That Game,13000000,22391450
He Got Game,25000000,22411948
City by the Sea,40000000,22433915
Winter's Tale,60000000,22468620
Much Ado About Nothing,8000000,22549338
Drive Me Crazy,8000000,22591451
Trance,16000000,22594052
Bullet to the Head,55000000,22597969
Prophecy,12000000,22673340
The Juror,44000000,22730924
Polisse,8900000,22744132
Young Adult,12000000,22750356
Le Scaphandre et le Papillon,14000000,22754472
A Perfect Getaway,14000000,22815460
Beloved,53000000,22852487
Alatriste,28000000,22860477
The Glass House,22000000,22861785
Lola rennt,1750000,22879194
Baggage Claim,8500000,22885836
The Ruins,25000000,22910563
Ella Enchanted,35000000,22913677
Rounders,12000000,22921898
La Vie d'Adèle – Chapitres 1 & 2,5250000,22937201
Domino,50000000,22969202
Aquamarine,12000000,22978953
Bulletproof Monk,52000000,23010607
Hunt for the Wilderpeople,2500000,23014021
"I Love You, Phillip Morris",13000000,23014027
Super Troopers,1200000,23046142
The Players Club,5000000,23047939
Atomic Blonde,30000000,23095325
Joyeux Noël,22000000,23134075
Free State of Jones,50000000,23152062
Stay Alive,20000000,23187506
CHiPS,25000000,23190697
Beasts of the Southern Wild,1800000,23265132
[Rec],2100000,23266821
La misma luna,1700000,23271741
Before Midnight,3000000,23283672
Middle School: The Worst Years of My Life,8500000,23311425
Once,150000,23344056
Soul Kitchen,4900000,23347469
Hoodwinked Too: Hood vs. Evil,30000000,23353111
Reindeer Games,36000000,23360779
Antwone Fisher,12500000,23367586
Raging Bull,18000000,23380203
Kingdom Come,7000000,23393939
Chinjeolhan geumjassi,4500000,23471871
Legend,25000000,23506237
God’s Not Dead 2,5000000,23565072
Kevin Hart: What Now?,10000000,23591043
Hustle & Flow,2800000,23591783
The Best Years of Our Lives,2100000,23600000
Armored,20000000,23661038
North Country,30000000,23676771
Network,3800000,23689877
In the Cut,12000000,23693646
Dickie Roberts: Former Child Star,17000000,23734486
House of Wax,658000,23800000
Life as a House,18000000,23889158
Graduation Day,250000,23894000
The Railway Man,18000000,23910210
The Alamo,92000000,23911362
Virtuosity,30000000,23998226
Swimming Pool,7800000,24021282
The Dressmaker,11900000,24041617
The Adventures of Huck Finn,6500000,24103594
The Guru,11000000,24150550
Wanderlust,32500000,24159934
Renaissance Man,40000000,24172899
Warrior,25000000,24215385
The Next Best Thing,25000000,24355762
In the Heat of the Night,2000000,24391108
The Shipping News,35000000,24405825
Arlington Road,21500000,24419219
Jodaeiye Nader az Simin,800000,24426169
Notorious,2000000,24464742
Modern Problems,8000000,24474312
I Don't Know How She Does It,24000000,24474463
In the Valley of Elah,23000000,24489150
Joe Somebody,38000000,24515990
Punch-Drunk Love,25000000,24591031
The Apartment,3000000,24600000
Mad Max 2: The Road Warrior,2000000,24600832
Sparkle,10000000,24660323
Biutiful,35000000,24687524
Seed of Chucky,29000000,24716190
Lottery Ticket,17000000,24719879
Nebraska,12000000,24761360
Kurtlar vadisi - Irak,8300000,24906717
Catch-22,18000000,24911670
Whiskey Tango Foxtrot,35000000,24915969
Aloha,37000000,24935799
Some Like it Hot,2883848,25000000
The Stewardesses,200000,25000000
Logan's Run,7000000,25000000
Exorcist II: The Heretic,14000000,25011000
Mommie Dearest,5000000,25032000
Mad Money,22000000,25044057
Wyatt Earp,63000000,25052000
The Wood,6000000,25059640
Jackie,9000000,25077411
Midnight in the Garden of Good and Evil,35000000,25078937
Cursed,35000000,25114901
Corky Romano,11000000,25116103
Mr. Turner,14000000,25187026
Grace of Monaco,30000000,25199891
Escape from New York,6000000,25244700
Big Miracle,40000000,25268680
Bride & Prejudice,7000000,25269040
Le prénom,11000000,25307405
25th Hour,4500000,25344490
The Last Legion,67000000,25357771
Can't Hardly Wait,10000000,25358996
The Cold Light of Day,20000000,25361206
Persepolis,7300000,25397460
Escape from L.A.,50000000,25426861
The Last Exorcism Part II,4000000,25448707
Elle s'appelait Sarah,14500000,25480031
A Nightmare on Elm Street,1800000,25504513
Top Five,12000000,25514848
Desperado,7000000,25532388
Halloween II,2500000,25533818
Jonah: A VeggieTales Movie,14000000,25608779
Enough Said,8000000,25621449
The Wind That Shakes the Barley,8300000,25670174
The Outsiders,10000000,25697647
Das Weisse Band: Eine deutsche Kindergeschichte,18000000,25727044
Ice Princess,25000000,25732334
From Dusk Till Dawn,20000000,25732986
Shadowlands,22000000,25842377
Rollerball,70000000,25852508
Our Idiot Brother,5000000,25861249
The Bye Bye Man,7400000,25863405
Billy Lynn’s Long Halftime Walk,40000000,25863458
Saving Silverman,22000000,25873142
All About the Benjamins,14000000,25873145
Carrie,1800000,25878153
Cry Freedom,29000000,25899797
Les invasions barbares,5000000,25913869
The Cotton Club,48000000,25928721
Mao's Last Dancer,18000000,25941437
Triple 9,20000000,25943792
Do the Right Thing,6000000,26004026
The Elephant Man,5000000,26010864
Indigènes,18900000,26063572
Fair Game,50000000,26097497
Your Highness,50000000,26121638
"Couloirs du temps: Les visiteurs 2, Les",20000000,26146072
U2 3D,15000000,26170402
The New World,30000000,26184400
Howards End,8000000,26199377
Blood Work,50000000,26199517
Dumb and Dumberer: When Harry Met Lloyd,30000000,26214846
The Whole Ten Yards,30000000,26323969
The Box,25000000,26341896
The Quiet American,20000000,26348203
Upside Down,50000000,26387039
Conan the Destroyer,18000000,26400000
Apollo 18,5000000,26517819
The Great Gatsby,7000000,26533200
Harriet the Spy,13000000,26570048
The Texas Chainsaw Massacre,140000,26572439
Glory,18000000,26593580
Blast from the Past,35000000,26613620
Oliver Twist,65000000,26670920
Event Horizon,60000000,26673242
Timeline,80000000,26703184
One True Thing,30000000,26708196
A Prairie Home Companion,10000000,26716191
Sorority Row,12500000,26735797
Baahubali: The Beginning,40000000,26736665
Eye for an Eye,20000000,26792700
The Way Way Back,5000000,26853810
Splice,30000000,26857459
Tron,17000000,26918576
Spy Hard,18000000,26936265
Rendition,27500000,26939925
Un monstre à Paris ,40000000,27000381
Monsoon Wedding,1200000,27025600
The Musketeer,40000000,27053815
The Big Hit,13000000,27066941
Fast Times at Ridgemont High,4500000,27092880
The Story of Us,50000000,27100030
Flash Gordon,35000000,27107960
Mongol,18000000,27147349
The Cave,30000000,27147991
Observe and Report,18000000,27148898
Baby Geniuses,13000000,27151490
A Passage to India,27500000,27187653
Zwartboek,22000000,27238354
Dark City,27000000,27257061
The Muppet Christmas Carol,12000000,27281507
Big Eyes,10000000,27317872
Clerks II,5000000,27342246
The Emoji Movie,50000000,27366288
Norm of the North,18000000,27392196
The Incredible Burt Wonderstone,32000000,27392609
Dune,45000000,27447471
Poetic Justice,14000000,27450453
Ramona and Beezus,15000000,27469621
Tailor of Panama,18000000,27491653
The Thing,38000000,27501814
Michael Collins,25000000,27572844
Goal! The Dream Begins,33000000,27610873
The Island of Dr. Moreau,40000000,27682712
To Die For,20000000,27688744
Dark Skies,3500000,27704111
Love and Basketball,15000000,27709625
Menace II Society,3500000,27731527
Nurse Betty,24000000,27732366
Saving Grace,4000000,27786849
Air Bud,3000000,27788649
RocknRolla,18000000,27794339
Mrs. Henderson Presents,20000000,27836366
Traitor,22000000,27882226
Appaloosa,20000000,27911453
Friday,3500000,27936778
The Brothers,6000000,27958191
Loaded Weapon 1,13000000,27979399
Cirque du Soleil: Worlds Away,25000000,28012862
Doogal,20000000,28058652
A Single Man,7000000,28142379
"20,000 Leagues Under the Sea",5000000,28200000
American Ultra,28000000,28208085
Thunderbirds,55000000,28231444
Let Me In,20000000,28270399
The Shawshank Redemption,25000000,28307092
Brown Sugar,8000000,28315272
Taxi Driver,1000000,28316211
A Man for All Seasons,3900000,28350000
"Lock, Stock and Two Smoking Barrels",1350000,28356188
Go!,6500000,28383441
Hoffa,35000000,28391473
The 33,25000000,28400715
Frost/Nixon,29000000,28452945
The Out-of-Towners,40000000,28544120
W.,25100000,28575778
Wrong Turn,10000000,28649556
American Psycho,8000000,28674417
Agent Cody Banks 2: Destination London,26000000,28703083
The Brothers Grimsby,35000000,28721408
Baby Boy,16000000,28734552
Yu-Gi-Oh,20000000,28762690
Boiler Room,9000000,28773637
Case 39,27000000,28773827
"Girl, Interrupted",24000000,28871190
The Player,8000000,28876702
Heist,35000000,28906817
The Upside of Anger,12000000,28915761
The Life of David Gale,50000000,28920188
The New Guy,13000000,28972187
Wolf Creek,1100000,29005064
Far From Heaven,13500000,29027914
Double Impact,16000000,29090445
The Object of my Affection,15000000,29145924
Rang De Basanti,5300000,29197694
The Rose,8500000,29200000
Bulworth,30000000,29203383
The Road,25000000,29206732
The Stepfather,20000000,29227561
Draft Day,25000000,29276904
A Low Down Dirty Shame,10000000,29317886
The Prince & Me,30000000,29356757
Across the Universe,45000000,29367143
De rouille et d’os,19500000,29393634
The Evil Dead,375000,29400000
The Pledge,45000000,29406132
Twilight Zone: The Movie,10000000,29500000
Angel Eyes,38000000,29544532
"Tora, Tora, Tora",25000000,29548291
La grande bellezza,12000000,29549145
An Education,7500000,29652736
Battlefield Earth: A Saga of the Year 3000,80000000,29725663
Riding in Cars with Boys,47000000,29781453
Double Take,24000000,29823162
St. Trinian’s,11400000,29830239
Ghost Town,20000000,29843245
The Losers,25000000,29863840
Shorts,20000000,29870801
The Four Feathers,35000000,29882645
Mandela: Long Walk to Freedom,35000000,29890402
Small Time Crooks,18000000,29934477
New in Town,8000000,29937909
Laws of Attraction,32000000,29948322
Night of the Living Dead,114000,30000000
Quo Vadis?,8250000,30022000
Road House,10000000,30050028
Metegol,22000000,30051905
Dragonfly,60000000,30063805
"Che, El Ar the Argentine",58000000,30118557
When the Game Stands Tall,15000000,30138912
Jane Austen's Mafia,10000000,30143795
What's Your Number?,20000000,30163785
The Art of War,40000000,30199105
Pulse,20500000,30241435
The Great Debaters,15000000,30261293
Silmido,8500000,30298347
Queen of the Damned,35000000,30307804
A Night at the Roxbury,17000000,30331165
Shaun of the Dead,5000000,30332385
Cabin Fever,1500000,30351664
A Serious Man,7000000,30360570
Mortdecai,60000000,30396134
Stick It,20000000,30399714
East is East,3000000,30438635
An American Haunting,14000000,30443277
2 For the Money,20000000,30491379
From Here to Eternity,1650000,30500000
The House,40000000,30576502
Flipper,25530000,30593313
The Raven,26000000,30601801
Virus,75000000,30626690
Superstar,14000000,30628981
When the Bough Breaks,10000000,30629507
Nancy Drew,20000000,30703845
Nocturnal Animals,22500000,30719170
Secret in Their Eyes,20000000,30808558
The Princess Bride,15000000,30857000
The Water Diviner,22500000,30864649
Hearts in Atlantis,31000000,30885781
Be Kind Rewind,20000000,30894247
Ultraviolet,30000000,30962112
Joe Dirt,16000000,30987695
Igor,22000000,31013349
High Anxiety,3400000,31063038
Grosse Pointe Blank,15000000,31070412
Love in the Time of Cholera,45000000,31077418
Spring Breakers,5000000,31149251
Joyful Noise,27500000,31157914
Movie 43,10000000,31164747
How High,12000000,31222395
Johnson Family Vacation,12000000,31286759
Lost Souls,28000000,31320293
The Iron Giant,50000000,31333917
An Ideal Husband,10700000,31341183
Rob Roy,28000000,31390587
Premium Rush,35000000,31393201
Lage Raho Munna Bhai,2700000,31517561
Mud,10000000,31556959
Benji,500000,31559560
The Girl Next Door,25000000,31635150
Rent,40000000,31670620
History of the World: Part I,11000000,31672000
Paint Your Wagon,20000000,31678778
Pinocchio,45000000,31681811
Mr. Nice Guy,6000000,31716953
Lake Placid,27000000,31770413
The Shadow,40000000,31835600
The Young Victoria,35000000,31878891
Dressed to Kill,6500000,31899000
Jennifer's Body,16000000,31943401
The Age of Innocence,34000000,32014993
Sunshine,40000000,32030610
Copycat,20000000,32051917
Cidade de Deus,3300000,32059295
Dance Flick,25000000,32092761
The Lawnmower Man,10000000,32100816
Shark Night 3D,25000000,32209741
The Lost Boys,8500000,32222567
Kingpin,25000000,32223424
Project Almanac,12000000,32248241
Kevin Hart: Let Me Explain,2500000,32327255
Being John Malkovich,13000000,32382381
Krrish,10000000,32430721
Adaptation,18500000,32531759
Kabhi Alvida Naa Kehna,10750000,32575443
Leap Year,19000000,32618920
Burnt,20000000,32632668
Coming Home,3000000,32653000
Return to Me,24000000,32662299
The Invention of Lying,18500000,32679264
Katy Perry: Part of Me,12000000,32700439
Luther,35000000,32738814
You Again,20000000,32838945
Inside Llewyn Davis,11000000,32943247
The Producers: The Movie Musical,45000000,32952995
88 Minutes,30000000,32955399
Awake,8600000,32968648
Friday the 13th Part IV: The Final Chapter,2600000,32980880
Mercury Rising,60000000,32983332
The Last Dragon,10000000,33000000
Dracula 2000,28000000,33000377
Confessions of a Dangerous Mind,29000000,33013805
Seven Psychopaths,13500000,33035736
The Perks of Being a Wallflower,13000000,33069303
Hart's War,70000000,33076815
Confessions of a Teenage Drama Queen,15000000,33118854
Blade Runner,28000000,33139618
Victor Frankenstein,40000000,33175076
Silverado,26000000,33200000
"Hello, Dolly",24000000,33208099
The Bridge on the River Kwai,3000000,33300000
Get on Up,30000000,33339868
2016: Obama’s America,2500000,33349941
The Planet of the Apes,5800000,33395426
Rosemary's Baby,3200000,33395426
Wonder Boys,35000000,33422485
Black Knight,35000000,33422806
Crocodile Hunter: Collision Course,12500000,33436931
The Long Kiss Goodnight,65000000,33447612
Mystery Men,68000000,33462011
Red Planet,80000000,33463969
Fireproof,500000,33473297
Whiplash,3300000,33474334
The Bad News Bears,35000000,33500620
Because of Winn-Dixie,15000000,33508485
"Run, Fatboy, Run",10000000,33512260
Friday After Next,10000000,33526835
Hostel: Part II,7500000,33606409
Y Tu Mamá También,5000000,33649881
Self/Less,26000000,33713827
The Wizard of Oz,2777000,33754967
Jay and Silent Bob Strike Back,22000000,33762400
Dungeons and Dragons,35000000,33771965
Nick and Norah's Infinite Playlist,10000000,33886017
The Circle,18000000,33907844
Nochnoy dozor,4200000,33913542
Lockout,20000000,33943049
Ne le dis à personne,18500000,33954018
The Relic,60000000,33956608
Day of the Dead,3500000,34004262
Flight of the Phoenix,75000000,34009180
Suffragette,14000000,34044909
Instinct,55000000,34105207
Entre les murs,3250000,34114067
Child's Play 2,13000000,34166572
Sling Blade,4833610,34175000
My Week with Marilyn,10000000,34240572
Viy,26000000,34246770
You Will Meet a Tall Dark Stranger,15000000,34247816
Snowden,50000000,34301950
"Gone, Baby, Gone",19000000,34352162
Swimfan,10000000,34364995
Darkness,10600000,34409206
The Doors,40000000,34416893
The Usual Suspects,6000000,34449356
Zambezia,20000000,34454631
Broken City,35000000,34480045
Malibu's Most Wanted,15000000,34499204
Woodstock,600000,34505110
In Bruges,15000000,34533783
That Thing You Do!,2500000,34557416
Hawaii,15000000,34562222
The Best Man,9000000,34572780
Everyone Says I Love You,20000000,34600000
Jack Frost,50000000,34645374
Nixon,45000000,34668249
Dangerous Liaisons,14000000,34700000
Endless Love,20000000,34718173
White Fang,14000000,34729091
My Best Friend's Girl,20000000,34787111
The Life Aquatic with Steve Zissou,50000000,34806726
The November Man,15000000,34820335
Freddy's Dead: The Final Nightmare,5000000,34872033
A Thin Line Between Love & Hate,8000000,34873513
Eye in the Sky,13000000,34916128
The Skulls,15000000,35007180
Commando,10000000,35073978
Whatever Works,15000000,35106706
Die Welle,7250000,35122948
The Adventures of Rocky & Bullwinkle,76000000,35129610
Courageous,2000000,35185884
Alfie,40000000,35195939
EDtv,60000000,35319689
The Lazarus Effect,5000000,35341814
